url,headline,team,score
http://comp20008-jh.eng.unimelb.edu.au:9889/sample/Hodg001.html,Hodgson shoulders England blame,England,18-17
http://comp20008-jh.eng.unimelb.edu.au:9889/sample/Vick002.html,Vickery out of Six Nations,England,50-50
http://comp20008-jh.eng.unimelb.edu.au:9889/sample/Yach003.html,Yachvili savours France comeback,France,18-17
